announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30,ticker
2017-11-08 00:00:00,84.4,79.55,-4.85,-6.1,79.95,-4.45,-5.57,77.5,-6.9,-8.9,81.35,-3.05,-3.75,,,,hubs
2017-08-02 00:00:00,70.1,72.1,2.0,2.77,70.8,0.7,0.99,69.3,-0.8,-1.15,70.65,0.55,0.78,72.7,2.6,3.58,hubs
2017-05-02 00:00:00,66.65,71.85,5.2,7.24,70.65,4.0,5.66,69.85,3.2,4.58,70.75,4.1,5.8,70.55,3.9,5.53,hubs
2017-02-14 00:00:00,57.4,58.75,1.35,2.3,60.0,2.6,4.33,61.8,4.4,7.12,59.5,2.1,3.53,59.3,1.9,3.2,hubs
2016-11-02 00:00:00,48.9,49.95,1.05,2.1,54.45,5.55,10.19,56.75,7.85,13.83,57.6,8.7,15.1,48.7,-0.2,-0.41,hubs
2016-08-03 00:00:00,50.57,56.7,6.13,10.81,57.74,7.17,12.42,59.26,8.69,14.66,56.94,6.37,11.19,54.5,3.93,7.21,hubs
2016-05-04 00:00:00,46.25,43.69,-2.56,-5.86,42.93,-3.32,-7.73,44.87,-1.38,-3.08,44.17,-2.08,-4.71,48.44,2.19,4.52,hubs
2016-02-10 00:00:00,29.04,33.02,3.98,12.05,32.22,3.18,9.87,34.34,5.3,15.43,36.53,7.49,20.5,45.4,16.36,36.04,hubs
2015-11-04 00:00:00,53.11,53.64,0.53,0.99,52.95,-0.16,-0.3,51.7,-1.41,-2.73,52.91,-0.2,-0.38,56.32,3.21,5.7,hubs
2015-08-06 00:00:00,50.51,49.66,-0.85,-1.71,47.84,-2.67,-5.58,46.23,-4.28,-9.26,45.98,-4.53,-9.85,50.58,0.07,0.14,hubs
2015-05-06 00:00:00,40.25,47.9,7.65,15.97,46.06,5.81,12.61,49.05,8.8,17.94,52.18,11.93,22.86,51.6,11.35,22.0,hubs
2015-02-11 00:00:00,34.42,37.07,2.65,7.15,43.29,8.87,20.49,41.0,6.58,16.05,41.44,7.02,16.94,38.0,3.58,9.42,hubs
