announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30,ticker
2017-10-26 00:00:00,147.35,123.79,-23.56,-19.03,124.66,-22.69,-18.2,123.51,-23.84,-19.3,117.32,-30.03,-25.6,119.21,-28.14,-23.61,expe
2017-07-27 00:00:00,154.25,159.5,5.25,3.29,152.69,-1.56,-1.02,153.68,-0.57,-0.37,143.55,-10.7,-7.45,143.97,-10.28,-7.14,expe
2017-04-27 00:00:00,136.2,133.72,-2.48,-1.85,138.99,2.79,2.01,141.1,4.9,3.47,139.86,3.66,2.62,149.22,13.02,8.73,expe
2017-02-09 00:00:00,123.25,122.65,-0.6,-0.49,119.67,-3.58,-2.99,119.85,-3.4,-2.84,119.63,-3.62,-3.03,127.04,3.79,2.98,expe
2016-10-27 00:00:00,126.42,131.64,5.22,3.97,125.99,-0.43,-0.34,125.29,-1.13,-0.9,123.63,-2.79,-2.26,123.0,-3.42,-2.78,expe
2016-07-28 00:00:00,119.27,116.65,-2.62,-2.25,113.55,-5.72,-5.04,113.51,-5.76,-5.07,114.8,-4.47,-3.89,114.07,-5.2,-4.56,expe
2016-04-28 00:00:00,106.99,115.77,8.78,7.58,115.97,8.98,7.74,112.55,5.56,4.94,112.94,5.95,5.27,109.11,2.12,1.94,expe
2016-02-10 00:00:00,94.35,103.37,9.02,8.73,102.25,7.9,7.73,110.88,16.53,14.91,104.4,10.05,9.63,108.99,14.64,13.43,expe
2015-10-29 00:00:00,127.06,136.3,9.24,6.78,136.39,9.33,6.84,137.31,10.25,7.46,127.94,0.88,0.69,125.61,-1.45,-1.15,expe
2015-07-30 00:00:00,107.61,121.44,13.83,11.39,124.56,16.95,13.61,121.6,13.99,11.5,120.66,13.05,10.82,115.94,8.33,7.18,expe
2015-04-30 00:00:00,94.23,101.69,7.46,7.34,98.77,4.54,4.6,100.97,6.74,6.68,104.14,9.91,9.52,107.87,13.64,12.64,expe
2015-02-05 00:00:00,88.0,77.87,-10.13,-13.01,78.19,-9.81,-12.55,89.57,1.57,1.75,91.3,3.3,3.61,94.68,6.68,7.06,expe
2014-10-30 00:00:00,80.73,84.97,4.24,4.99,83.89,3.16,3.77,84.06,3.33,3.96,86.49,5.76,6.66,87.32,6.59,7.55,expe
2014-07-31 00:00:00,79.42,84.46,5.04,5.97,84.35,4.93,5.84,83.52,4.1,4.91,84.93,5.51,6.49,87.17,7.75,8.89,expe
2014-05-01 00:00:00,73.87,71.15,-2.72,-3.82,70.51,-3.36,-4.77,68.44,-5.43,-7.93,69.78,-4.09,-5.86,73.98,0.11,0.15,expe
2014-02-06 00:00:00,65.14,74.45,9.31,12.51,74.79,9.65,12.9,76.69,11.55,15.06,79.71,14.57,18.28,75.21,10.07,13.39,expe
2013-10-30 00:00:00,49.96,58.97,9.01,15.28,60.24,10.28,17.07,59.81,9.85,16.47,61.72,11.76,19.05,62.31,12.35,19.82,expe
2013-07-25 00:00:00,65.0,47.2,-17.8,-37.71,47.49,-17.51,-36.87,47.2,-17.8,-37.71,50.9,-14.1,-27.7,48.18,-16.82,-34.91,expe
2013-04-25 00:00:00,64.97,58.56,-6.41,-10.95,55.84,-9.13,-16.35,56.77,-8.2,-14.44,55.97,-9.0,-16.08,55.6,-9.37,-16.85,expe
2013-02-05 00:00:00,67.5,65.7,-1.8,-2.74,65.65,-1.85,-2.82,65.55,-1.95,-2.97,64.42,-3.08,-4.78,62.65,-4.85,-7.74,expe
2012-10-25 00:00:00,51.25,59.06,7.81,13.22,59.06,7.81,13.22,59.68,8.43,14.13,58.19,6.94,11.93,59.68,8.43,14.13,expe
2012-07-26 00:00:00,45.71,54.9,9.19,16.74,56.99,11.28,19.79,56.8,11.09,19.52,55.96,10.25,18.32,53.38,7.67,14.37,expe
2012-04-26 00:00:00,32.63,40.31,7.68,19.05,41.64,9.01,21.64,41.43,8.8,21.24,40.91,8.28,20.24,46.03,13.4,29.11,expe
2012-02-09 00:00:00,34.16,33.54,-0.62,-1.85,33.92,-0.24,-0.71,33.27,-0.89,-2.68,33.25,-0.91,-2.74,34.22,0.06,0.18,expe
2011-10-27 00:00:00,58.18,54.56,-3.62,-6.63,54.76,-3.42,-6.25,56.28,-1.9,-3.38,54.94,-3.24,-5.9,56.08,-2.1,-3.74,expe
2011-07-28 00:00:00,57.98,63.38,5.4,8.52,60.9,2.92,4.79,57.74,-0.24,-0.42,56.86,-1.12,-1.97,60.0,2.02,3.37,expe
2011-04-28 00:00:00,49.36,50.04,0.68,1.36,49.96,0.6,1.2,49.46,0.1,0.2,50.24,0.88,1.75,54.64,5.28,9.66,expe
2011-02-10 00:00:00,51.38,42.62,-8.76,-20.55,43.42,-7.96,-18.33,42.02,-9.36,-22.28,40.54,-10.84,-26.74,43.72,-7.66,-17.52,expe
