announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30,ticker
2017-10-18 00:00:00,37.97,37.29,-0.68,-1.82,36.83,-1.14,-3.1,36.68,-1.29,-3.52,37.54,-0.43,-1.15,34.38,-3.59,-10.44,ebay
2017-07-20 00:00:00,37.18,36.61,-0.57,-1.56,36.32,-0.86,-2.37,36.17,-1.01,-2.79,35.71,-1.47,-4.12,36.13,-1.05,-2.91,ebay
2017-03-01 00:00:00,34.27,33.91,-0.36,-1.06,33.64,-0.63,-1.87,33.32,-0.95,-2.85,32.89,-1.38,-4.2,34.27,-0.0,-0.0,ebay
2017-01-25 00:00:00,30.23,31.74,1.51,4.76,32.17,1.94,6.03,32.18,1.95,6.06,33.25,3.02,9.08,33.32,3.09,9.27,ebay
2016-10-18 00:00:00,31.64,32.52,0.88,2.71,29.06,-2.58,-8.88,29.05,-2.59,-8.92,28.38,-3.26,-11.49,28.51,-3.13,-10.98,ebay
2016-07-20 00:00:00,26.99,29.93,2.94,9.82,30.68,3.69,12.03,31.31,4.32,13.8,30.95,3.96,12.79,32.16,5.17,16.08,ebay
2016-04-26 00:00:00,24.49,25.27,0.78,3.09,24.43,-0.06,-0.25,23.98,-0.51,-2.13,24.16,-0.33,-1.37,24.28,-0.21,-0.86,ebay
2016-01-27 00:00:00,26.42,23.13,-3.29,-14.22,23.94,-2.48,-10.36,23.5,-2.92,-12.43,22.32,-4.1,-18.37,23.95,-2.47,-10.31,ebay
2015-10-21 00:00:00,24.21,27.58,3.37,12.22,28.17,3.96,14.06,28.25,4.04,14.3,29.3,5.09,17.37,28.97,4.76,16.43,ebay
2015-07-16 00:00:00,27.61,27.9,0.29,1.04,28.6,0.99,3.46,28.43,0.82,2.88,28.37,0.76,2.68,27.1,-0.51,-1.88,ebay
2015-04-22 00:00:00,23.88,24.79,0.91,3.67,24.87,0.99,3.98,24.78,0.9,3.63,24.2,0.32,1.32,26.1,2.22,8.51,ebay
2015-01-21 00:00:00,22.47,24.05,1.58,6.57,23.59,1.12,4.75,22.66,0.19,0.84,22.61,0.14,0.62,24.54,2.07,8.44,ebay
2014-10-15 00:00:00,21.14,20.15,-0.99,-4.91,20.71,-0.43,-2.08,21.1,-0.04,-0.19,21.6,0.46,2.13,22.97,1.83,7.97,ebay
2014-07-16 00:00:00,21.34,21.48,0.14,0.65,21.76,0.42,1.93,22.16,0.82,3.7,22.4,1.06,4.73,23.54,2.2,9.35,ebay
2014-04-29 00:00:00,22.95,21.81,-1.14,-5.23,21.89,-1.06,-4.84,21.44,-1.51,-7.04,21.71,-1.24,-5.71,20.31,-2.64,-13.0,ebay
2014-01-22 00:00:00,22.9,23.12,0.22,0.95,22.26,-0.64,-2.88,21.97,-0.93,-4.23,22.53,-0.37,-1.64,24.77,1.87,7.55,ebay
2013-10-16 00:00:00,22.53,21.62,-0.91,-4.21,21.86,-0.67,-3.06,21.77,-0.76,-3.49,22.19,-0.34,-1.53,20.75,-1.78,-8.58,ebay
2013-07-17 00:00:00,24.15,22.53,-1.62,-7.19,22.02,-2.13,-9.67,21.93,-2.22,-10.12,21.76,-2.39,-10.98,21.22,-2.93,-13.81,ebay
2013-04-17 00:00:00,23.61,22.23,-1.38,-6.21,21.73,-1.88,-8.65,22.29,-1.32,-5.92,22.05,-1.56,-7.07,23.17,-0.44,-1.9,ebay
2013-01-16 00:00:00,22.26,22.8,0.54,2.37,22.82,0.56,2.45,22.47,0.21,0.93,23.48,1.22,5.2,22.79,0.53,2.33,ebay
2012-10-17 00:00:00,20.29,21.39,1.1,5.14,21.11,0.82,3.88,20.57,0.28,1.36,20.31,0.02,0.1,21.66,1.37,6.33,ebay
2012-07-18 00:00:00,17.03,18.5,1.47,7.95,18.62,1.59,8.54,18.18,1.15,6.33,18.47,1.44,7.8,19.99,2.96,14.81,ebay
2012-04-18 00:00:00,15.1,17.1,2.0,11.7,16.69,1.59,9.53,16.78,1.68,10.01,17.32,2.22,12.82,16.66,1.56,9.36,ebay
2012-01-18 00:00:00,12.77,13.26,0.49,3.7,13.46,0.69,5.13,13.44,0.67,4.99,13.55,0.78,5.76,15.04,2.27,15.09,ebay
2011-10-19 00:00:00,13.96,13.53,-0.43,-3.18,13.62,-0.34,-2.5,13.08,-0.88,-6.73,13.38,-0.58,-4.33,12.45,-1.51,-12.13,ebay
2011-07-20 00:00:00,13.96,14.07,0.11,0.78,14.23,0.27,1.9,14.04,0.08,0.57,13.57,-0.39,-2.87,12.99,-0.97,-7.47,ebay
2011-04-27 00:00:00,14.32,14.31,-0.01,-0.07,14.16,-0.16,-1.13,13.89,-0.43,-3.1,14.02,-0.3,-2.14,12.87,-1.45,-11.27,ebay
2011-01-19 00:00:00,12.25,12.95,0.7,5.41,12.84,0.59,4.6,13.07,0.82,6.27,13.42,1.17,8.72,13.75,1.5,10.91,ebay
