announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30
2017-11-08 00:00:00,84.56,84.09,-0.47,-0.56,83.93,-0.63,-0.75,82.98,-1.58,-1.9,83.11,-1.45,-1.74,,,
2017-07-27 00:00:00,73.16,73.04,-0.12,-0.16,72.58,-0.58,-0.8,72.15,-1.01,-1.4,71.41,-1.75,-2.45,74.34,1.18,1.59
2017-05-10 00:00:00,69.31,68.46,-0.85,-1.24,68.43,-0.88,-1.29,67.48,-1.83,-2.71,68.77,-0.54,-0.79,70.27,0.96,1.37
2017-02-15 00:00:00,64.53,64.52,-0.01,-0.02,64.62,0.09,0.14,64.36,-0.17,-0.26,64.94,0.41,0.63,65.47,0.94,1.44
2016-11-10 00:00:00,58.7,59.02,0.32,0.54,58.87,0.17,0.29,60.64,1.94,3.2,60.4,1.7,2.81,63.55,4.85,7.63
2016-07-27 00:00:00,56.19,56.21,0.02,0.04,56.58,0.39,0.69,56.97,0.78,1.37,58.02,1.83,3.15,57.66,1.47,2.55
2016-05-04 00:00:00,49.87,49.94,0.07,0.14,50.07,0.2,0.4,51.05,1.18,2.31,50.81,0.94,1.85,49.69,-0.18,-0.36
2016-02-10 00:00:00,49.71,49.69,-0.02,-0.04,50.5,0.79,1.56,52.42,2.71,5.17,51.36,1.65,3.21,53.97,4.26,7.89
2015-11-04 00:00:00,54.4,54.38,-0.02,-0.04,54.16,-0.24,-0.44,53.65,-0.75,-1.4,53.85,-0.55,-1.02,56.13,1.73,3.08
2015-08-05 00:00:00,47.58,46.62,-0.96,-2.06,47.33,-0.25,-0.53,46.74,-0.84,-1.8,46.61,-0.97,-2.08,44.3,-3.28,-7.4
2015-05-06 00:00:00,46.28,46.7,0.42,0.9,47.37,1.09,2.3,47.63,1.35,2.83,47.58,1.3,2.73,45.97,-0.31,-0.67
2015-02-11 00:00:00,42.38,43.09,0.71,1.65,43.87,1.49,3.4,43.53,1.15,2.64,43.99,1.61,3.66,41.46,-0.92,-2.22
2014-11-05 00:00:00,47.86,48.7,0.84,1.72,48.89,1.03,2.11,48.78,0.92,1.89,48.22,0.36,0.75,45.74,-2.12,-4.63
