absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-257.28,-148.98,-199.86,,-180.85,2017-11-06 00:00:00,1903.0,-15.63,-8.49,-11.73,,-10.5,1645.72,1754.02,1703.14,,1722.15,pcln
-142.2,-230.8,-194.83,-189.22,-188.16,2017-08-08 00:00:00,2049.0,-7.46,-12.69,-10.51,-10.17,-10.11,1906.8,1818.2,1854.17,1859.78,1860.84,pcln
-86.36,-83.19,-92.95,-60.49,-81.33,2017-05-09 00:00:00,1911.13,-4.73,-4.55,-5.11,-3.27,-4.44,1824.77,1827.94,1818.18,1850.64,1829.8,pcln
92.12,135.11,102.36,143.96,98.2,2017-02-27 00:00:00,1632.01,5.34,7.65,5.9,8.11,5.68,1724.13,1767.12,1734.37,1775.97,1730.21,pcln
97.8,43.85,73.99,8.5,8.85,2016-11-07 00:00:00,1480.33,6.2,2.88,4.76,0.57,0.59,1578.13,1524.18,1554.32,1488.83,1489.18,pcln
54.23,83.08,47.02,97.23,46.93,2016-08-04 00:00:00,1359.99,3.83,5.76,3.34,6.67,3.34,1414.22,1443.07,1407.01,1457.22,1406.92,pcln
-12.19,14.23,-8.12,52.38,14.27,2016-05-04 00:00:00,1253.04,-0.98,1.12,-0.65,4.01,1.13,1240.85,1267.27,1244.92,1305.42,1267.31,pcln
16.39,65.81,52.86,81.47,28.65,2016-02-17 00:00:00,1235.56,1.31,5.06,4.1,6.19,2.27,1251.95,1301.37,1288.42,1317.03,1264.21,pcln
12.39,-46.83,2.86,-35.44,-44.28,2015-11-09 00:00:00,1311.15,0.94,-3.7,0.22,-2.78,-3.5,1323.54,1264.32,1314.01,1275.71,1266.87,pcln
0.59,-59.86,-27.46,-30.73,-56.5,2015-08-05 00:00:00,1351.21,0.04,-4.64,-2.07,-2.33,-4.36,1351.8,1291.35,1323.75,1320.48,1294.71,pcln
-8.73,-0.86,-30.02,-39.53,-23.4,2015-05-07 00:00:00,1213.49,-0.72,-0.07,-2.54,-3.37,-1.97,1204.76,1212.63,1183.47,1173.96,1190.09,pcln
-1.82,13.85,1.74,-57.61,23.2,2015-02-19 00:00:00,1218.05,-0.15,1.12,0.14,-4.96,1.87,1216.23,1231.9,1219.79,1160.44,1241.25,pcln
