announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30
2017-11-08 00:00:00,1132.88,1129.13,-3.75,-0.33,1129.17,-3.71,-0.33,1126.69,-6.19,-0.55,1156.16,23.28,2.01,,,
2017-07-27 00:00:00,1046.0,1020.04,-25.96,-2.54,996.19,-49.81,-5.0,986.92,-59.08,-5.99,956.92,-89.08,-9.31,979.47,-66.53,-6.79
2017-05-10 00:00:00,948.95,947.62,-1.33,-0.14,957.97,9.02,0.94,944.76,-4.19,-0.44,980.35,31.4,3.2,1002.23,53.28,5.32
2017-02-15 00:00:00,842.7,844.14,1.44,0.17,845.07,2.37,0.28,855.61,12.91,1.51,853.08,10.38,1.22,874.32,31.62,3.62
2016-11-10 00:00:00,742.38,739.01,-3.37,-0.46,743.24,0.86,0.12,756.4,14.02,1.85,780.12,37.74,4.84,766.34,23.96,3.13
2016-07-27 00:00:00,736.67,752.61,15.94,2.12,767.74,31.07,4.05,754.64,17.97,2.38,768.56,31.89,4.15,784.48,47.81,6.09
2016-05-04 00:00:00,670.9,659.09,-11.81,-1.79,679.75,8.85,1.3,713.23,42.33,5.93,697.45,26.55,3.81,714.26,43.36,6.07
2016-02-10 00:00:00,490.48,503.82,13.34,2.65,507.08,16.6,3.27,534.1,43.62,8.17,554.04,63.56,11.47,569.63,79.15,13.89
2015-11-04 00:00:00,640.95,655.65,14.7,2.24,655.49,14.54,2.22,673.25,32.3,4.8,663.54,22.59,3.4,675.77,34.82,5.15
2015-08-05 00:00:00,537.01,529.46,-7.55,-1.43,524.0,-13.01,-2.48,525.91,-11.1,-2.11,532.92,-4.09,-0.77,527.39,-9.62,-1.82
2015-05-06 00:00:00,419.1,426.88,7.78,1.82,432.85,13.75,3.18,426.87,7.77,1.82,423.86,4.76,1.12,427.81,8.71,2.04
2015-02-11 00:00:00,375.14,377.17,2.03,0.54,381.83,6.69,1.75,373.37,-1.77,-0.47,385.37,10.23,2.65,370.96,-4.18,-1.13
2014-11-05 00:00:00,296.52,296.64,0.12,0.04,305.11,8.59,2.82,311.51,14.99,4.81,326.54,30.02,9.19,298.88,2.36,0.79
